outcome_OutcomeID,outcome_StudyID,outcomeType,outcomeSpecific,icdCodes,prinicpalDiagnosis,outcomeDefinition,Statistical distribution,measureType,outcomeComment,study_StudyID,reviewer,dateExtracted,title,authors,publicationYear,author,studyDesign,country,region,setting,startDate,endDate,studyLength,recruitment,samplingUnit,numberOfSamplingUnits,dataCollection,ageRange,retentionRate,inclusionCriteria,Bias in Sampling frame,Standard endpoints,Confounder,Reliability,Sufficient information,qualityComment,subgroup_StudyID,subgroup_OutcomeID,SubgroupID,subgroupType,subgroupDescription,sampleSize,personYears,populationDenominator,caseCount,measureScale,estimate,lci,uci,uciEstimate,Is confidence 95%,gasCases,gasControls,gasMethod,attributableFraction,subgroupComment,weighting
92,71,Superficial GAS disease,Pharyngitis,no,Not stated,"GAS serologically confirmed pharyngitis, both unequivicol and likely cases of an antibody response. Positive GAS culture and  0.2 log-10 rise in antistreptolysin O (ASO) or anti-DNase B (ADB) titer between acute and convalescent sera.",,incidence,true incidence,71,Padraig,11-Jun-15,Burden of acute sore throat and group A streptococcal pharyngitis in school-aged children and their families in Australia,"Danchin MH, Rogers S, Kelpie L, Selvaraj G, Curtis N, Carlin JB, Nolan TM, Carapetis JR",2007,"Danchin et al., 2007",prospective cohort,Australia,Melbourne,community,august 2001,december 2002,16 month,family medicine practitioners,family,202,active surveillance,not stated,97,,No,Yes,No,Yes,Yes,high quality. Regression against covariates but not by our confonders of interst.,71,92,178,Age,CHILDREN 13-18  serologically confirmed GAS pharyngitis,55,65,-9,3,per 100 patient-years,4.6,1,13.5,13.5,TRUE,0,0,,0,>18 years (adult) also available. GAS fraction not available,5
93,71,Colonisation and carriage,Carriage,no,Not stated,GAS carriage defined as presence of GAS in the upper respiratory tract without an antibody response,,prevalence,,71,Padraig,11-Jun-15,Burden of acute sore throat and group A streptococcal pharyngitis in school-aged children and their families in Australia,"Danchin MH, Rogers S, Kelpie L, Selvaraj G, Curtis N, Carlin JB, Nolan TM, Carapetis JR",2007,"Danchin et al., 2007",prospective cohort,Australia,Melbourne,community,august 2001,december 2002,16 month,family medicine practitioners,family,202,active surveillance,not stated,97,,No,Yes,No,Yes,Yes,high quality. Regression against covariates but not by our confonders of interst.,71,93,179,Seasonal,SPRING GAS carriage in children <18 years,470,-9,-9,-9,%,13,-9,-9,13,TRUE,0,0,,0,,5
93,71,Colonisation and carriage,Carriage,no,Not stated,GAS carriage defined as presence of GAS in the upper respiratory tract without an antibody response,,prevalence,,71,Padraig,11-Jun-15,Burden of acute sore throat and group A streptococcal pharyngitis in school-aged children and their families in Australia,"Danchin MH, Rogers S, Kelpie L, Selvaraj G, Curtis N, Carlin JB, Nolan TM, Carapetis JR",2007,"Danchin et al., 2007",prospective cohort,Australia,Melbourne,community,august 2001,december 2002,16 month,family medicine practitioners,family,202,active surveillance,not stated,97,,No,Yes,No,Yes,Yes,high quality. Regression against covariates but not by our confonders of interst.,71,93,180,Seasonal,SUMMER GAS carriage in children <18 years,470,-9,-9,-9,%,8,-9,-9,8,TRUE,0,0,,0,,5
93,71,Colonisation and carriage,Carriage,no,Not stated,GAS carriage defined as presence of GAS in the upper respiratory tract without an antibody response,,prevalence,,71,Padraig,11-Jun-15,Burden of acute sore throat and group A streptococcal pharyngitis in school-aged children and their families in Australia,"Danchin MH, Rogers S, Kelpie L, Selvaraj G, Curtis N, Carlin JB, Nolan TM, Carapetis JR",2007,"Danchin et al., 2007",prospective cohort,Australia,Melbourne,community,august 2001,december 2002,16 month,family medicine practitioners,family,202,active surveillance,not stated,97,,No,Yes,No,Yes,Yes,high quality. Regression against covariates but not by our confonders of interst.,71,93,181,Seasonal,WINTER GAS carriage in children <18 years,470,-9,-9,-9,%,16,-9,-9,16,TRUE,0,0,,0,,5
93,71,Colonisation and carriage,Carriage,no,Not stated,GAS carriage defined as presence of GAS in the upper respiratory tract without an antibody response,,prevalence,,71,Padraig,11-Jun-15,Burden of acute sore throat and group A streptococcal pharyngitis in school-aged children and their families in Australia,"Danchin MH, Rogers S, Kelpie L, Selvaraj G, Curtis N, Carlin JB, Nolan TM, Carapetis JR",2007,"Danchin et al., 2007",prospective cohort,Australia,Melbourne,community,august 2001,december 2002,16 month,family medicine practitioners,family,202,active surveillance,not stated,97,,No,Yes,No,Yes,Yes,high quality. Regression against covariates but not by our confonders of interst.,71,93,182,Age,ADULTS >18 years GAS carriage across all seasons,358,-9,-9,-9,%,2,-9,-9,2,TRUE,0,0,,0,,5
94,72,Colonisation and carriage,Carriage,no,Not stated,"carriers defined as recovery of same ERP-pattern GAS strain on three or more consecutive vists, or two visits with one or more intervening non-detection. Children with GAS isolate on first visit and detected again over next two months or more also defined",,proportion,,72,Padraig,12-Jun-15,High pharyngeal carriage rates of streptococcus pyogenes in Dunedin school children with a low incidence of rheumatic fever,"Dierksen KP, Inglis M, Tagg JR",2000,"Dierksen et al., 2000",prospective cohort,New Zealand,Dunedin,school,Febuary 1997,November 1997,10 months,school enrollment,children,780,examination,,32,,Yes,Yes,No,Unclear,No,low,72,94,183,Age,CHILDREN primary school aged GAS carriager in Group 1 children (monthly swab + sore throat presentation),290,-9,2410,80,%,28,-9,-9,28,TRUE,0,0,,0,no breakdown by sore throat.,5
95,72,Superficial GAS disease,Pharyngitis,no,Not stated,presentation with self-reported sore throat. No details about further diagnosis. All presentations swabbed and cultured,,proportion,,72,Padraig,12-Jun-15,High pharyngeal carriage rates of streptococcus pyogenes in Dunedin school children with a low incidence of rheumatic fever,"Dierksen KP, Inglis M, Tagg JR",2000,"Dierksen et al., 2000",prospective cohort,New Zealand,Dunedin,school,Febuary 1997,November 1997,10 months,school enrollment,children,780,examination,,32,,Yes,Yes,No,Unclear,No,low,72,95,184,Age,"CHILDREN. Primary school aged children presenting with sore throat, swabbed and confirmed for GAS culture",490,-9,2410,174,%,36,-9,-9,36,TRUE,44,-9,culture,-9,if only they reported asympomatic,5
96,73,Superficial GAS disease,Pyoderma,no,Not stated,diagnosed by trained local health workers using standard form. Scabies with a superficial bacterial skin infection were also classified as pyoderma,,prevalence,,73,Padraig,12-Jun-15,"A regional initiative to reduce skin infections amongst Aboriginal children living in remote communities of the Northern Territory, Australia","Andrews RM, Kearns T, Connors C, Parker C, Carville K, Currie BJ, Carapetis JR",2009,"Andrews et al., 2009",prospective cohort,Australia,Top End,community,September 2004,August 2007,approx. 3 years,"school, local health care, community",children <15 years,2329,standard form and examination,0 - 14,78,,No,Yes,Yes,Yes,Yes,,73,96,185,Total,TOTAL average monthly  prevalence pyoderma among indigenous children aged <15 years,6018,-9,-9,2136,%,35.5,34.3,36.8,36.8,TRUE,-9,-9,,-9,,5
96,73,Superficial GAS disease,Pyoderma,no,Not stated,diagnosed by trained local health workers using standard form. Scabies with a superficial bacterial skin infection were also classified as pyoderma,,prevalence,,73,Padraig,12-Jun-15,"A regional initiative to reduce skin infections amongst Aboriginal children living in remote communities of the Northern Territory, Australia","Andrews RM, Kearns T, Connors C, Parker C, Carville K, Currie BJ, Carapetis JR",2009,"Andrews et al., 2009",prospective cohort,Australia,Top End,community,September 2004,August 2007,approx. 3 years,"school, local health care, community",children <15 years,2329,standard form and examination,0 - 14,78,,No,Yes,Yes,Yes,Yes,,73,96,186,Age,<3 YEARS average monthly  prevalence pyoderma among indigenous  children,1192,-9,-9,424,%,35.6,32.9,38.3,38.3,TRUE,-9,-9,,-9,,5
96,73,Superficial GAS disease,Pyoderma,no,Not stated,diagnosed by trained local health workers using standard form. Scabies with a superficial bacterial skin infection were also classified as pyoderma,,prevalence,,73,Padraig,12-Jun-15,"A regional initiative to reduce skin infections amongst Aboriginal children living in remote communities of the Northern Territory, Australia","Andrews RM, Kearns T, Connors C, Parker C, Carville K, Currie BJ, Carapetis JR",2009,"Andrews et al., 2009",prospective cohort,Australia,Top End,community,September 2004,August 2007,approx. 3 years,"school, local health care, community",children <15 years,2329,standard form and examination,0 - 14,78,,No,Yes,Yes,Yes,Yes,,73,96,187,Age,3 - <9 YEARS average monthly  prevalence pyoderma among indigenous  children,2925,-9,-9,1164,%,39.8,38.1,41.6,41.6,TRUE,-9,-9,,-9,,5
96,73,Superficial GAS disease,Pyoderma,no,Not stated,diagnosed by trained local health workers using standard form. Scabies with a superficial bacterial skin infection were also classified as pyoderma,,prevalence,,73,Padraig,12-Jun-15,"A regional initiative to reduce skin infections amongst Aboriginal children living in remote communities of the Northern Territory, Australia","Andrews RM, Kearns T, Connors C, Parker C, Carville K, Currie BJ, Carapetis JR",2009,"Andrews et al., 2009",prospective cohort,Australia,Top End,community,September 2004,August 2007,approx. 3 years,"school, local health care, community",children <15 years,2329,standard form and examination,0 - 14,78,,No,Yes,Yes,Yes,Yes,,73,96,188,Age,9 - 14 YEARS average monthly  prevalence pyoderma among indigenous  children,1901,-9,-9,549,%,28.9,26.9,31,31,TRUE,-9,-9,,-9,,5
96,73,Superficial GAS disease,Pyoderma,no,Not stated,diagnosed by trained local health workers using standard form. Scabies with a superficial bacterial skin infection were also classified as pyoderma,,prevalence,,73,Padraig,12-Jun-15,"A regional initiative to reduce skin infections amongst Aboriginal children living in remote communities of the Northern Territory, Australia","Andrews RM, Kearns T, Connors C, Parker C, Carville K, Currie BJ, Carapetis JR",2009,"Andrews et al., 2009",prospective cohort,Australia,Top End,community,September 2004,August 2007,approx. 3 years,"school, local health care, community",children <15 years,2329,standard form and examination,0 - 14,78,,No,Yes,Yes,Yes,Yes,,73,96,189,Sex,MALE average monthly prevalence pyoderma indigenous children <15 years,-9,-9,-9,-9,%,38.8,37.1,40.5,40.5,TRUE,-9,-9,,-9,,5
96,73,Superficial GAS disease,Pyoderma,no,Not stated,diagnosed by trained local health workers using standard form. Scabies with a superficial bacterial skin infection were also classified as pyoderma,,prevalence,,73,Padraig,12-Jun-15,"A regional initiative to reduce skin infections amongst Aboriginal children living in remote communities of the Northern Territory, Australia","Andrews RM, Kearns T, Connors C, Parker C, Carville K, Currie BJ, Carapetis JR",2009,"Andrews et al., 2009",prospective cohort,Australia,Top End,community,September 2004,August 2007,approx. 3 years,"school, local health care, community",children <15 years,2329,standard form and examination,0 - 14,78,,No,Yes,Yes,Yes,Yes,,73,96,190,Sex,FEMALE average monthly prevalence pyoderma indigenous children <15 years,-9,-9,-9,-9,%,32.1,30.4,33.8,33.8,TRUE,-9,-9,,-9,,5
99,75,Superficial GAS disease,Impetigo,no,Not stated,no strict or explicit definition used,,proportion,,75,Padraig,15-Jun-15,Skin infections among Indigenous Australians in an urban setting in Far North Queensland,"Valery PC, Wenitong M, Clements V, Sheel M, McMillan D, Stirling J, Sriprakash KS, Batzloff M, Vohra R, McCarthy JS",2008,"Valery et al., 2008",cross-sectional,Australia,Far north queensland urban,health clinic,November 2005,June 2006,8 months,clinic presentation,patients,184,"structured interview, swabs",median(range): 5.3(1-20),94,patients aged <20 years attending clinic. Patients must have skin infection with exudate to be swabbed and have injury as cause of infection (ie dog bite),Yes,Unclear,No,Yes,Yes,catchement area of clinic unclear. Urban clininc but regional patients? Biases towards presentation to clinic. As far as described measurement is designed to minimise differential bias,75,99,191,Total,diagnoses of impetigo repeorted over the study period,173,-9,-9,111,%,65,-9,-9,65,TRUE,82,47,culture,0.427,controls in this case is other skin diagnoses OR: 5.2(95%CI:2.2-12.2),5
100,76,Superficial GAS disease,Impetigo,not stated,Not stated,skin disease impetigo including co-infections. Not otherwise defined,,prevalence,,76,Padraig,15-Jun-15,Skin disease in the first two years of life in Aboriginal children in East Arnhem Land,"McMeniman E, Holden L, Kearns T, Clucas DB, Carapetis JR, Currie BJ, Connors C, Andrews RM",2011,"McMeniman et al., 2011",retrospective cohort,Australia,Top End,primary health care centre,2001,2005,5 years,birth cohort,presentations,3691,medical record review,0-2 years,44.4,"children born from 2001 to 2005 inclusive, parents consent to have charts audited",Yes,Unclear,No,Yes,Yes,selection bias for consent possible. Stratified by sampling conditions,76,100,192,Total,"presentations for impetigo either alone or co-infection within the first two years of life, from 99 charts audited",3691,-9,-9,700,%,19,-9,-9,19,TRUE,0,0,,0,calculated from counts by reviewer,5
101,77,Locally invasive GAS disease,Cellulitis,ICD-10,Any diagnosis,"cellulitis, not otherwise defined",,proportion,,77,Padraig,16-Jun-15,Which patients with dermatological conditions are admitted via the emergency department?,"Lai-Kwon JE, Weiland TJ, Jelinek GA, Chong AH",2014,"Lai-Kwon et al., 2014",retrospective cohort,Australia,Melbourne,Emergency department,1 january 2009,31 december 2011,3 years,ED presentations,admissions any unit,937,cliincal records,,na,,Yes,Unclear,No,Unclear,No,,77,101,193,Total,admissions to any department with a diagnosis of cellulitis,937,-9,-9,534,%,57,-9,-9,57,TRUE,0,0,,0,"reported as 56% but I think is clearly a rounding error, calc % is 56.99",5
102,78,Superficial GAS disease,Impetigo,no,Not stated,"swabs of children with untreated impetigo, first episode only and at least 90 days since last contact before study entry",,count,also contains nasal carriage risk and association with GAS impetigo,78,Padraig,17-Jun-15,"The microbiology of impetigo in Indigenous children: associations between Streptococcus pyogenes, Staphylococcus aureus, scabies, and nasal carriage","Bowen AC, Tong SYC, Chatfield MD, Carapetis JR",2014,"Bowen et al., 2014",clinical trial,Australia,Northern territory,remote community,26/11/2009,20/11/2012,3 years,not stated,individual,508,swab,3-13,,indigenous children. Consent from parent or guardian,Unclear,Yes,Yes,Yes,Yes,smapling and recruitment not clear. OR for confounders,78,102,194,Total,skin sore swabs of children with untreated impetigo across all 12 communities NT,872,-9,-9,,count,-9,-9,-9,-9,TRUE,81.4,-9,culture,-9,GAS cultured alone or with S.aureus in 710/872 swabs,5
103,79,Superficial GAS disease,Impetigo,no,Not stated,"impetiginous skin lesions, not otherwise defined",,proportion,,79,Padraig,17-Jun-15,Streptococccal infection and renal disease markers in Australian aboriginal children,"Van Buynder PG, Gaggin JA, Martin D, Pugsley D, Mathews JD",1992,"Van et al., 1992",cross-sectional,Australia,Northern Territory,community,not stated,not stated,not stated,School,individual,180,"clinical records, swabs, serology",5-17,,,Yes,,,,,"smaple bias from school roll possible.
Abstract only, no full text available. Limited info available for Quality and methodology appraisal",79,103,196,Total,impetigo,180,-9,-9,31,%,17.2,-9,-9,17.2,TRUE,64.5,3.4,culture,94.7,numbers calculated by reviewer from available data. ABSTRACT ONLY,5
